Year,Month,Day,Hour,SOLAR_KampongChhnang,SOLAR_KampongSpeu
2016,2,2,10,139.7428865542372,158.53247265946317
2016,2,2,11,53.90565202023169,61.606459451693375
2016,2,2,12,54.27068359306566,62.023638392075036
2016,2,2,13,52.91406579399972,60.473218050285396
2016,2,2,14,47.65879768245475,54.467197351376846
2016,2,2,15,35.85364531218403,40.97559464249603
2016,2,2,16,17.970240357972326,20.53741755196837
2016,2,2,17,1.8241576161323343,2.0847515612940963
2016,2,2,18,0.0,0.0
2016,2,2,19,0.0,0.0
2016,2,2,20,0.0,0.0
2016,2,2,21,0.0,0.0
2016,2,2,22,0.0,0.0
2016,2,2,23,0.0,0.0
2016,2,3,0,0.0,0.0
2016,2,3,1,0.0,0.0
2016,2,3,2,0.0,0.0
2016,2,3,3,0.0,0.0
2016,2,3,4,0.0,0.0
2016,2,3,5,0.0,0.0
2016,2,3,6,5.404373498125661,6.157440618496066
2016,2,3,7,50.22442423840331,57.213367162776365
2016,2,3,8,102.80413552122381,117.06845744765646
2016,2,3,9,139.86553681124659,159.19472552836888
2016,2,3,10,143.35350479941468,162.5232510368282
